CGPA,Projects,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,label,Practical Experiences,I+P,I+W,P+W,Aptitude*SoftSkills,Internships less than 2,Workshops/Certifications less than 2
8.6,3,81,4.8,1,1,71,82,1,6,4,3,5,388.8,1,0
7.8,3,89,4.6,1,1,73,79,1,5,4,2,4,409.4,1,1
8.1,3,90,4.7,1,0,72,87,1,6,4,3,5,423.0,1,0
7.2,2,83,4.5,0,1,74,69,0,3,3,1,2,373.5,1,1
8.4,3,87,4.8,1,1,78,88,1,7,5,4,5,417.59999999999997,0,0
8.4,3,85,4.6,1,1,90,79,0,5,3,2,5,390.99999999999994,1,0
8.3,3,88,4.7,1,1,69,80,0,4,3,1,4,413.6,1,1
7.2,2,66,3.9,0,0,67,69,0,3,2,1,3,257.4,1,1
8.6,3,90,4.8,1,1,77,86,1,7,5,4,5,432.0,0,0
7.1,1,63,3.6,0,1,58,68,0,3,2,2,2,226.8,1,1
6.6,1,81,4.0,0,0,73,72,0,3,2,2,2,324.0,1,1
7.5,1,83,4.6,1,0,58,81,0,3,3,2,1,381.79999999999995,0,1
7.8,2,74,4.6,1,1,58,60,0,4,2,2,4,340.4,1,0
7.8,3,77,4.2,1,0,77,82,0,6,4,3,5,323.40000000000003,1,0
8.2,3,90,4.8,1,1,89,84,1,7,5,4,5,432.0,0,0
8.9,3,89,4.6,1,1,71,83,1,7,5,4,5,409.4,0,0
8.2,2,90,4.8,1,1,78,71,1,4,3,2,3,432.0,1,1
7.5,3,70,4.2,0,1,60,68,0,4,4,1,3,294.0,1,1
7.7,2,68,3.9,0,1,62,63,0,3,3,1,2,265.2,1,1
7.5,1,65,4.4,0,1,55,60,0,3,2,2,2,286.0,1,1
6.6,1,82,3.7,0,1,55,60,1,3,2,2,2,303.40000000000003,1,1
7.5,3,90,4.8,1,1,82,81,1,5,3,2,5,432.0,1,0
8.2,1,79,4.6,0,1,55,61,0,3,2,2,2,363.4,1,1
8.7,2,84,4.4,1,1,65,88,1,3,3,1,2,369.6,1,1
8.0,3,87,4.2,1,1,75,81,1,6,5,3,4,365.40000000000003,0,1
8.0,2,81,4.5,0,0,69,71,0,6,4,4,4,364.5,0,0
7.5,2,70,4.7,1,1,55,70,0,5,3,3,4,329.0,1,0
7.8,3,73,4.6,1,0,82,85,0,5,3,2,5,335.79999999999995,1,0
7.6,2,64,4.5,0,1,62,63,0,3,3,1,2,288.0,1,1
8.7,3,75,3.7,1,1,62,74,0,3,3,0,3,277.5,1,1
7.2,1,85,3.5,0,1,84,70,0,2,2,1,1,297.5,1,1
8.1,3,90,4.7,1,1,70,85,1,6,4,3,5,423.0,1,0
7.4,2,77,4.1,1,1,55,77,0,3,3,1,2,315.7,1,1
8.2,2,81,4.8,1,1,78,83,1,6,4,4,4,388.8,0,0
6.5,2,65,4.0,1,1,66,69,0,4,3,2,3,260.0,1,1
8.7,1,87,4.1,0,0,72,63,0,2,1,1,2,356.7,1,1
8.5,1,82,3.6,1,1,67,81,0,6,3,5,4,295.2,0,0
8.5,3,74,4.1,0,1,76,68,1,6,4,3,5,303.4,1,0
7.9,2,76,4.1,1,1,57,66,0,4,3,2,3,311.59999999999997,1,1
7.4,3,71,4.8,1,1,86,73,0,5,5,2,3,340.8,0,1
8.3,3,82,4.8,1,1,57,73,1,7,5,4,5,393.59999999999997,0,0
7.6,1,76,4.3,0,1,66,69,0,2,2,1,1,326.8,1,1
8.9,3,89,4.8,1,0,77,78,1,3,3,0,3,427.2,1,1
8.2,3,90,4.8,1,1,81,84,1,7,5,4,5,432.0,0,0
7.9,3,88,4.7,1,1,87,85,1,4,4,1,3,413.6,1,1
6.9,1,90,4.5,1,1,81,80,1,1,1,0,1,405.0,1,1
7.1,3,81,4.4,1,1,78,72,0,4,4,1,3,356.40000000000003,1,1
8.5,3,90,4.8,1,1,80,84,1,7,5,4,5,432.0,0,0
6.9,1,76,4.8,1,0,78,82,1,3,1,2,3,364.8,1,0
7.3,1,77,4.7,1,1,57,75,0,3,2,2,2,361.90000000000003,1,1
7.8,3,89,4.6,0,1,71,68,0,5,5,2,3,409.4,0,1
8.3,1,81,4.1,1,1,76,83,0,3,3,2,1,332.09999999999997,0,1
8.6,3,83,4.4,1,1,71,83,1,6,4,3,5,365.20000000000005,1,0
8.6,3,87,4.8,0,0,75,66,0,5,5,2,3,417.59999999999997,0,1
8.7,1,90,4.7,1,1,74,86,1,3,3,2,1,423.0,0,1
7.5,3,90,4.2,1,1,80,72,1,6,4,3,5,378.0,1,0
7.8,1,63,4.5,0,0,61,65,0,2,1,1,2,283.5,1,1
6.5,1,71,3.4,0,1,59,67,0,1,1,0,1,241.4,1,1
7.6,3,73,4.4,0,1,55,62,0,5,4,2,4,321.20000000000005,1,1
6.5,1,80,3.8,1,1,58,65,0,3,2,2,2,304.0,1,1
8.0,3,75,4.3,0,0,57,66,0,4,4,1,3,322.5,1,1
7.5,1,67,4.2,1,1,57,70,1,2,2,1,1,281.40000000000003,1,1
7.3,1,75,3.6,0,1,55,66,0,3,2,2,2,270.0,1,1
7.8,2,82,4.7,1,1,77,67,0,3,3,1,2,385.40000000000003,1,1
6.5,1,82,3.4,0,0,56,66,0,3,2,2,2,278.8,1,1
8.1,3,90,4.8,1,1,69,82,1,7,4,4,6,432.0,1,0
8.7,3,74,4.6,1,1,86,83,1,4,4,1,3,340.4,1,1
7.1,2,76,4.0,0,1,55,69,1,4,4,2,2,304.0,0,1
8.9,3,81,4.8,1,0,82,81,1,6,4,3,5,388.8,1,0
8.1,3,90,4.5,1,1,78,81,1,7,5,4,5,405.0,0,0
7.7,1,64,3.7,0,1,77,70,0,4,3,3,2,236.8,0,1
8.1,3,85,4.5,1,1,76,88,1,7,5,4,5,382.5,0,0
7.8,3,81,4.3,0,0,64,70,0,4,4,1,3,348.3,1,1
7.2,1,67,3.8,0,0,59,63,0,3,2,2,2,254.6,1,1
8.4,1,84,4.8,1,1,82,68,1,4,2,3,3,403.2,1,0
6.5,1,67,4.3,1,0,81,63,1,1,1,0,1,288.09999999999997,1,1
8.3,3,90,4.8,1,1,74,83,1,7,5,4,5,432.0,0,0
8.1,2,76,4.5,1,1,79,81,1,5,3,3,4,342.0,1,0
7.7,3,75,4.6,1,1,74,63,0,5,4,2,4,345.0,1,1
6.5,1,80,4.3,1,1,75,68,0,2,2,1,1,344.0,1,1
8.3,3,87,4.8,1,1,74,80,0,7,5,4,5,417.59999999999997,0,0
8.6,2,90,4.6,1,1,56,87,1,3,2,1,3,413.99999999999994,1,1
7.6,2,83,4.2,0,1,55,70,0,2,2,0,2,348.6,1,1
7.0,1,71,4.3,0,1,74,64,0,3,2,2,2,305.3,1,1
7.9,3,90,4.8,1,1,78,86,1,7,5,4,5,432.0,0,0
7.4,3,76,4.4,1,1,58,71,0,4,4,1,3,334.40000000000003,1,1
7.4,2,73,4.3,0,1,65,68,0,3,3,1,2,313.9,1,1
7.7,1,80,4.8,1,1,55,61,0,2,2,1,1,384.0,1,1
7.4,1,79,4.8,0,1,72,66,0,2,2,1,1,379.2,1,1
7.4,1,78,4.6,0,0,56,69,0,1,1,0,1,358.79999999999995,1,1
6.7,1,66,3.6,0,0,55,67,0,3,2,2,2,237.6,1,1
6.5,2,84,4.2,1,0,74,78,0,3,3,1,2,352.8,1,1
7.8,1,73,4.8,1,1,77,88,1,2,1,1,2,350.4,1,1
7.2,2,68,4.4,0,0,55,64,0,4,3,2,3,299.20000000000005,1,1
8.1,2,88,4.0,0,1,67,84,1,2,2,0,2,352.0,1,1
8.2,2,83,4.6,1,1,66,86,1,3,3,1,2,381.79999999999995,1,1
8.2,3,90,4.7,1,1,65,87,1,6,3,3,6,423.0,1,0
8.4,1,81,4.7,1,1,77,82,0,5,3,4,3,380.7,0,0
7.8,3,77,4.2,1,1,83,76,0,5,3,2,5,323.40000000000003,1,0
7.5,1,67,4.6,0,0,86,62,0,2,2,1,1,308.2,1,1
8.0,1,74,4.1,0,1,80,67,1,3,3,2,1,303.4,0,1
7.5,3,90,4.7,1,1,80,83,1,7,5,4,5,423.0,0,0
8.4,3,85,4.7,1,1,63,78,1,6,5,3,4,399.5,0,1
6.6,1,73,3.4,0,0,56,69,0,2,2,1,1,248.2,1,1
7.6,1,66,3.7,1,1,65,60,0,2,2,1,1,244.20000000000002,1,1
7.6,2,69,3.3,0,1,64,63,0,5,3,3,4,227.7,1,0
7.5,1,75,3.5,1,1,55,64,0,4,2,3,3,262.5,1,0
6.5,1,74,3.9,0,0,70,67,0,2,2,1,1,288.59999999999997,1,1
6.7,1,73,4.0,0,1,62,65,0,3,2,2,2,292.0,1,1
8.3,3,86,4.8,0,1,80,67,0,5,4,2,4,412.8,1,1
8.6,1,73,4.6,1,0,55,82,0,5,3,4,3,335.79999999999995,0,0
7.6,2,76,3.9,0,0,55,69,0,4,3,2,3,296.4,1,1
8.5,2,70,4.5,1,1,74,64,1,4,3,2,3,315.0,1,1
7.7,2,82,4.3,0,1,77,67,0,3,3,1,2,352.59999999999997,1,1
7.4,1,89,4.4,0,1,58,73,0,2,2,1,1,391.6,1,1
7.5,1,79,3.6,0,1,63,65,0,3,2,2,2,284.40000000000003,1,1
7.8,1,82,4.2,0,1,75,71,0,2,2,1,1,344.40000000000003,1,1
6.8,1,74,4.2,1,0,77,84,0,4,2,3,3,310.8,1,0
7.3,1,80,3.5,0,1,55,61,0,1,1,0,1,280.0,1,1
7.2,2,60,3.6,0,0,74,71,0,3,2,1,3,216.0,1,1
6.7,0,69,3.9,0,1,76,71,0,2,2,2,0,269.09999999999997,0,1
7.3,3,77,4.6,1,1,72,88,1,5,3,2,5,354.2,1,0
6.9,1,67,4.0,1,0,59,61,0,3,3,2,1,268.0,0,1
8.2,1,79,4.2,0,0,72,69,0,2,2,1,1,331.8,1,1
6.7,2,80,4.1,0,0,63,59,0,4,3,2,3,328.0,1,1
8.3,3,89,4.7,1,1,80,88,1,7,5,4,5,418.3,0,0
6.8,2,88,4.5,0,1,67,63,0,2,2,0,2,396.0,1,1
7.6,2,88,4.8,0,1,57,68,0,3,3,1,2,422.4,1,1
7.9,3,90,4.8,1,1,80,84,0,7,5,4,5,432.0,0,0
7.3,1,69,4.2,0,0,55,65,0,3,2,2,2,289.8,1,1
7.7,3,78,4.1,1,1,70,81,0,5,5,2,3,319.79999999999995,0,1
7.9,2,75,4.6,1,1,71,85,0,5,3,3,4,345.0,1,0
7.9,3,82,4.2,1,1,83,69,0,6,5,3,4,344.40000000000003,0,1
7.5,1,71,3.7,0,1,55,61,0,2,2,1,1,262.7,1,1
8.2,1,83,4.4,1,1,64,80,1,4,2,3,3,365.20000000000005,1,0
8.0,3,90,4.3,1,1,75,87,1,6,3,3,6,387.0,1,0
7.8,1,69,4.7,0,0,57,64,0,2,2,1,1,324.3,1,1
8.2,1,70,4.2,0,0,55,62,0,2,2,1,1,294.0,1,1
