StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,label
120,7.7,1,1,0,71,4.7,No,Yes,57,69,0
121,7.3,1,2,2,67,4.5,No,No,63,66,0
122,6.5,0,1,0,78,3.7,Yes,Yes,75,69,0
123,6.5,1,1,1,68,4.1,No,No,55,65,0
124,6.8,1,1,0,78,4.3,No,No,61,62,0
125,7.8,2,2,2,80,4.6,No,Yes,59,74,1
126,7.5,1,2,0,77,4.2,Yes,Yes,58,63,0
127,6.5,0,1,0,75,3.7,No,No,58,62,0
128,8.1,0,1,0,71,3.6,Yes,No,69,67,0
129,8.5,2,3,0,86,4.2,Yes,Yes,60,85,1
130,8.6,1,3,2,90,4.7,Yes,Yes,68,84,1
131,7.9,2,3,2,76,4.6,Yes,Yes,79,82,1
132,6.5,0,2,2,75,4.5,Yes,No,65,59,0
133,8.2,0,2,1,82,4.5,Yes,Yes,78,87,1
134,7.6,1,1,0,64,4.1,No,No,69,67,0
135,7.3,1,2,1,84,4.6,No,Yes,55,72,0
136,8.4,2,3,2,90,4.5,Yes,Yes,85,79,1
137,8.3,2,3,3,90,4.5,Yes,Yes,70,88,1
138,8.3,1,2,1,82,4.7,Yes,Yes,77,84,0
139,8.6,2,3,2,78,4.8,Yes,Yes,82,81,0
140,7.4,0,1,1,70,4.2,No,No,61,70,0
141,6.9,1,2,1,74,4.1,No,No,55,69,0
142,6.6,1,1,0,77,4.5,No,No,62,70,0
143,6.6,1,2,1,76,4.1,Yes,Yes,82,69,0
144,8,2,3,2,86,4.8,Yes,Yes,62,83,1
145,7.5,1,2,0,86,3.8,No,No,55,68,0
146,7.9,2,3,2,90,4.8,Yes,No,81,78,0
147,8.3,1,3,2,78,3.9,Yes,Yes,60,61,1
148,7.4,1,1,0,74,3.5,No,Yes,67,62,0
149,8.7,2,3,2,87,4.7,Yes,Yes,80,84,1
150,7.4,1,2,0,77,4.5,No,Yes,66,86,0
151,7.5,1,1,1,70,4.6,No,No,59,66,0
152,7.4,2,1,1,87,4.5,Yes,Yes,68,84,0
153,7.7,0,1,1,69,4.8,Yes,Yes,78,65,0
154,7.8,0,1,1,70,3.8,No,Yes,73,73,0
155,8.2,2,3,1,69,4,Yes,Yes,77,82,0
156,7.6,1,1,0,72,4.6,Yes,Yes,68,84,0
157,8.5,2,3,2,90,4.8,Yes,Yes,80,79,1
158,6.7,0,1,1,71,4.7,No,Yes,76,70,0
159,7.6,1,3,0,82,4.5,No,Yes,56,72,0
160,7.6,0,2,0,80,3.7,Yes,No,85,61,0
161,7.4,1,2,0,77,3.8,No,Yes,59,63,0
162,6.5,1,1,0,70,4.7,No,Yes,79,64,0
163,6.5,1,1,0,68,4.3,No,Yes,55,70,0
164,8.1,0,2,2,80,4.4,Yes,No,82,85,1
165,8.5,1,3,2,75,4.5,Yes,Yes,75,84,0
166,8.1,2,3,2,90,4.8,Yes,Yes,86,88,1
167,8.7,2,1,0,66,4.8,Yes,No,70,59,0
168,6.6,0,1,2,72,4.2,No,Yes,86,88,1
169,6.8,2,2,2,80,4.6,No,Yes,61,69,0
170,8,1,2,1,76,4.5,No,Yes,68,75,0
171,7.8,1,1,1,79,3.7,No,Yes,56,59,0
172,7.7,1,2,0,81,3.8,Yes,Yes,65,59,0
173,6.8,1,1,0,73,3.7,No,Yes,55,65,0
174,7.3,1,2,1,71,4.7,No,No,59,57,0
175,6.5,2,2,2,79,4.5,Yes,Yes,83,87,1
176,7.3,1,2,1,79,3.8,No,Yes,58,73,0
177,8.3,2,3,1,90,4.8,Yes,No,55,80,1
178,8.2,1,2,1,79,3.8,Yes,Yes,55,70,0
179,8.2,1,1,2,86,4.4,No,No,76,82,0
180,8.5,0,2,0,81,3.2,No,Yes,55,63,0
181,8,0,1,1,87,3.8,No,Yes,55,71,0
182,7.7,1,1,2,82,4.4,No,No,55,70,0
183,7.6,0,3,3,75,4.3,Yes,Yes,82,87,1
184,6.7,1,3,0,77,4.1,Yes,Yes,69,67,0
185,8.5,0,2,2,75,4.5,Yes,No,76,83,1
186,8.8,1,2,2,90,4.8,Yes,No,75,88,1
187,7.5,0,1,1,80,4.2,Yes,No,84,64,0
188,7.7,0,1,0,79,4.8,No,Yes,58,71,0
189,7.5,0,2,0,69,3.6,No,No,61,59,0
190,6.8,1,1,0,68,4.3,No,Yes,65,69,0
191,8.1,0,3,2,90,4.8,Yes,Yes,69,84,0
192,8.4,2,3,3,82,4.5,Yes,No,82,85,1
193,7.5,1,1,0,67,3.4,No,No,65,71,0
194,8.1,1,3,0,70,4.8,Yes,No,71,72,0
195,8.4,2,3,2,80,4.6,Yes,Yes,72,79,1
196,8,1,2,1,80,4.3,No,Yes,71,61,0
197,7.9,0,3,2,90,4.8,Yes,Yes,68,83,1
198,6.8,0,1,0,77,3.3,No,No,64,69,0
199,8.3,2,3,2,82,4.6,Yes,Yes,76,85,1
200,7.4,1,2,1,75,4.3,No,Yes,55,85,0
201,7.6,1,1,0,66,4.1,No,Yes,62,73,0
202,8.2,2,3,2,90,4.6,Yes,Yes,77,88,1
203,8.2,1,3,2,90,4.3,No,Yes,77,82,1
204,6.5,1,1,0,79,3.6,No,Yes,55,64,0
205,7.5,1,1,2,82,4.5,Yes,Yes,77,84,1
206,7.5,1,2,1,85,4.1,No,Yes,71,84,0
207,7.6,1,1,1,88,4.5,Yes,Yes,83,86,1
208,7.5,1,1,1,81,4.5,Yes,Yes,64,68,0
209,7.5,0,2,1,66,4.5,No,Yes,61,71,1
210,7.9,2,1,0,71,4.8,No,Yes,56,66,0
211,7.2,1,2,0,69,4,No,Yes,55,61,0
212,8.6,2,3,2,90,4.8,Yes,Yes,75,84,1
213,6.5,1,1,1,78,3.9,No,Yes,67,73,1
214,8.7,1,3,0,86,4.5,Yes,Yes,77,81,1
215,7.8,1,2,0,78,4.8,Yes,Yes,75,65,1
216,8.5,1,2,1,71,3.8,Yes,Yes,78,69,0
217,8.6,1,3,2,81,4.8,Yes,Yes,71,82,1
218,7.8,1,3,1,89,4.6,Yes,Yes,73,79,1
219,8.1,1,3,2,90,4.7,Yes,No,72,87,1
220,7.2,1,2,0,83,4.5,No,Yes,74,69,0
221,8.4,2,3,2,87,4.8,Yes,Yes,78,88,1
222,8.4,0,3,2,85,4.6,Yes,Yes,90,79,0
223,8.3,0,3,1,88,4.7,Yes,Yes,69,80,0
224,7.2,0,2,1,66,3.9,No,No,67,69,0
225,8.6,2,3,2,90,4.8,Yes,Yes,77,86,1
226,7.1,1,1,1,63,3.6,No,Yes,58,68,0
227,6.6,1,1,1,81,4,No,No,73,72,0
228,7.5,2,1,0,83,4.6,Yes,No,58,81,0
229,7.8,0,2,2,74,4.6,Yes,Yes,58,60,0
230,7.8,1,3,2,77,4.2,Yes,No,77,82,0
231,8.2,2,3,2,90,4.8,Yes,Yes,89,84,1
232,8.9,2,3,2,89,4.6,Yes,Yes,71,83,1
233,8.2,1,2,1,90,4.8,Yes,Yes,78,71,1
234,7.5,1,3,0,70,4.2,No,Yes,60,68,0
235,7.7,1,2,0,68,3.9,No,Yes,62,63,0
236,7.5,1,1,1,65,4.4,No,Yes,55,60,0
237,6.6,1,1,1,82,3.7,No,Yes,55,60,1
238,7.5,0,3,2,90,4.8,Yes,Yes,82,81,1
239,8.2,1,1,1,79,4.6,No,Yes,55,61,0
240,8.7,1,2,0,84,4.4,Yes,Yes,65,88,1
241,8,2,3,1,87,4.2,Yes,Yes,75,81,1
242,8,2,2,2,81,4.5,No,No,69,71,0
243,7.5,1,2,2,70,4.7,Yes,Yes,55,70,0
244,7.8,0,3,2,73,4.6,Yes,No,82,85,0
245,7.6,1,2,0,64,4.5,No,Yes,62,63,0
246,8.7,0,3,0,75,3.7,Yes,Yes,62,74,0
247,7.2,1,1,0,85,3.5,No,Yes,84,70,0
248,8.1,1,3,2,90,4.7,Yes,Yes,70,85,1
249,7.4,1,2,0,77,4.1,Yes,Yes,55,77,0
250,8.2,2,2,2,81,4.8,Yes,Yes,78,83,1
251,6.5,1,2,1,65,4,Yes,Yes,66,69,0
252,8.7,0,1,1,87,4.1,No,No,72,63,0
253,8.5,2,1,3,82,3.6,Yes,Yes,67,81,0
254,8.5,1,3,2,74,4.1,No,Yes,76,68,1
255,7.9,1,2,1,76,4.1,Yes,Yes,57,66,0
256,7.4,2,3,0,71,4.8,Yes,Yes,86,73,0
257,8.3,2,3,2,82,4.8,Yes,Yes,57,73,1
258,7.6,1,1,0,76,4.3,No,Yes,66,69,0
259,8.9,0,3,0,89,4.8,Yes,No,77,78,1
260,8.2,2,3,2,90,4.8,Yes,Yes,81,84,1
261,7.9,1,3,0,88,4.7,Yes,Yes,87,85,1
262,6.9,0,1,0,90,4.5,Yes,Yes,81,80,1
263,7.1,1,3,0,81,4.4,Yes,Yes,78,72,0
264,8.5,2,3,2,90,4.8,Yes,Yes,80,84,1
265,6.9,0,1,2,76,4.8,Yes,No,78,82,1
266,7.3,1,1,1,77,4.7,Yes,Yes,57,75,0
267,7.8,2,3,0,89,4.6,No,Yes,71,68,0
268,8.3,2,1,0,81,4.1,Yes,Yes,76,83,0
269,8.6,1,3,2,83,4.4,Yes,Yes,71,83,1
270,8.6,2,3,0,87,4.8,No,No,75,66,0
271,8.7,2,1,0,90,4.7,Yes,Yes,74,86,1
272,7.5,1,3,2,90,4.2,Yes,Yes,80,72,1
273,7.8,0,1,1,63,4.5,No,No,61,65,0
274,6.5,0,1,0,71,3.4,No,Yes,59,67,0
275,7.6,1,3,1,73,4.4,No,Yes,55,62,0
276,6.5,1,1,1,80,3.8,Yes,Yes,58,65,0
277,8,1,3,0,75,4.3,No,No,57,66,0
278,7.5,1,1,0,67,4.2,Yes,Yes,57,70,1
279,7.3,1,1,1,75,3.6,No,Yes,55,66,0
280,7.8,1,2,0,82,4.7,Yes,Yes,77,67,0
281,6.5,1,1,1,82,3.4,No,No,56,66,0
282,8.1,1,3,3,90,4.8,Yes,Yes,69,82,1
283,8.7,1,3,0,74,4.6,Yes,Yes,86,83,1
284,7.1,2,2,0,76,4,No,Yes,55,69,1
285,8.9,1,3,2,81,4.8,Yes,No,82,81,1
286,8.1,2,3,2,90,4.5,Yes,Yes,78,81,1
287,7.7,2,1,1,64,3.7,No,Yes,77,70,0
288,8.1,2,3,2,85,4.5,Yes,Yes,76,88,1
289,7.8,1,3,0,81,4.3,No,No,64,70,0
290,7.2,1,1,1,67,3.8,No,No,59,63,0
291,8.4,1,1,2,84,4.8,Yes,Yes,82,68,1
292,6.5,0,1,0,67,4.3,Yes,No,81,63,1
293,8.3,2,3,2,90,4.8,Yes,Yes,74,83,1
294,8.1,1,2,2,76,4.5,Yes,Yes,79,81,1
295,7.7,1,3,1,75,4.6,Yes,Yes,74,63,0
296,6.5,1,1,0,80,4.3,Yes,Yes,75,68,0
297,8.3,2,3,2,87,4.8,Yes,Yes,74,80,0
298,8.6,0,2,1,90,4.6,Yes,Yes,56,87,1
299,7.6,0,2,0,83,4.2,No,Yes,55,70,0
300,7,1,1,1,71,4.3,No,Yes,74,64,0
301,7.9,2,3,2,90,4.8,Yes,Yes,78,86,1
302,7.4,1,3,0,76,4.4,Yes,Yes,58,71,0
303,7.4,1,2,0,73,4.3,No,Yes,65,68,0
304,7.7,1,1,0,80,4.8,Yes,Yes,55,61,0
305,7.4,1,1,0,79,4.8,No,Yes,72,66,0
306,7.4,0,1,0,78,4.6,No,No,56,69,0
307,6.7,1,1,1,66,3.6,No,No,55,67,0
308,6.5,1,2,0,84,4.2,Yes,No,74,78,0
309,7.8,0,1,1,73,4.8,Yes,Yes,77,88,1
310,7.2,1,2,1,68,4.4,No,No,55,64,0
311,8.1,0,2,0,88,4,No,Yes,67,84,1
312,8.2,1,2,0,83,4.6,Yes,Yes,66,86,1
313,8.2,0,3,3,90,4.7,Yes,Yes,65,87,1
314,8.4,2,1,2,81,4.7,Yes,Yes,77,82,0
315,7.8,0,3,2,77,4.2,Yes,Yes,83,76,0
316,7.5,1,1,0,67,4.6,No,No,86,62,0
317,8,2,1,0,74,4.1,No,Yes,80,67,1
318,7.5,2,3,2,90,4.7,Yes,Yes,80,83,1
319,8.4,2,3,1,85,4.7,Yes,Yes,63,78,1
320,6.6,1,1,0,73,3.4,No,No,56,69,0
321,7.6,1,1,0,66,3.7,Yes,Yes,65,60,0
322,7.6,1,2,2,69,3.3,No,Yes,64,63,0
323,7.5,1,1,2,75,3.5,Yes,Yes,55,64,0
324,6.5,1,1,0,74,3.9,No,No,70,67,0
325,6.7,1,1,1,73,4,No,Yes,62,65,0
326,8.3,1,3,1,86,4.8,No,Yes,80,67,0
327,8.6,2,1,2,73,4.6,Yes,No,55,82,0
328,7.6,1,2,1,76,3.9,No,No,55,69,0
329,8.5,1,2,1,70,4.5,Yes,Yes,74,64,1
330,7.7,1,2,0,82,4.3,No,Yes,77,67,0
331,7.4,1,1,0,89,4.4,No,Yes,58,73,0
332,7.5,1,1,1,79,3.6,No,Yes,63,65,0
333,7.8,1,1,0,82,4.2,No,Yes,75,71,0
334,6.8,1,1,2,74,4.2,Yes,No,77,84,0
335,7.3,0,1,0,80,3.5,No,Yes,55,61,0
336,7.2,0,2,1,60,3.6,No,No,74,71,0
337,6.7,2,0,0,69,3.9,No,Yes,76,71,0
338,7.3,0,3,2,77,4.6,Yes,Yes,72,88,1
339,6.9,2,1,0,67,4,Yes,No,59,61,0
340,8.2,1,1,0,79,4.2,No,No,72,69,0
341,6.7,1,2,1,80,4.1,No,No,63,59,0
342,8.3,2,3,2,89,4.7,Yes,Yes,80,88,1
343,6.8,0,2,0,88,4.5,No,Yes,67,63,0
344,7.6,1,2,0,88,4.8,No,Yes,57,68,0
345,7.9,2,3,2,90,4.8,Yes,Yes,80,84,0
346,7.3,1,1,1,69,4.2,No,No,55,65,0
347,7.7,2,3,0,78,4.1,Yes,Yes,70,81,0
348,7.9,1,2,2,75,4.6,Yes,Yes,71,85,0
349,7.9,2,3,1,82,4.2,Yes,Yes,83,69,0
350,7.5,1,1,0,71,3.7,No,Yes,55,61,0
351,8.2,1,1,2,83,4.4,Yes,Yes,64,80,1
352,8,0,3,3,90,4.3,Yes,Yes,75,87,1
353,7.8,1,1,0,69,4.7,No,No,57,64,0
354,8.2,1,1,0,70,4.2,No,No,55,62,0
355,8.1,1,3,0,88,4.3,No,No,72,85,0
356,7.7,2,1,0,75,4.4,Yes,No,81,82,0
357,8.6,2,3,2,87,4.8,Yes,Yes,77,82,1
358,7.5,1,2,0,77,4.3,No,No,55,74,0
359,8.4,2,2,2,73,4.8,Yes,No,78,82,1
360,7.5,2,2,0,73,4.4,Yes,Yes,86,74,1
361,8.7,2,3,2,90,4.8,Yes,Yes,75,88,1
362,8.3,1,2,2,85,4.6,Yes,Yes,72,88,1
363,7.6,2,3,2,90,4.5,Yes,Yes,75,82,1
364,7.4,1,3,1,75,4.5,Yes,Yes,83,67,1
365,7.7,2,2,1,74,4.1,No,Yes,55,63,0
366,8.2,1,3,1,88,4.8,Yes,Yes,71,82,0
367,6.8,1,1,0,67,4.1,No,No,57,61,0
368,8.2,0,3,0,76,4.7,Yes,Yes,77,66,0
369,8.3,2,3,2,88,4.7,Yes,Yes,70,85,1
370,7.1,0,2,0,67,3.2,No,No,57,57,0
371,6.5,1,2,1,60,3.5,No,No,60,65,0
372,7.9,2,1,1,78,4.1,Yes,Yes,58,76,0
373,7.7,1,3,0,82,4.2,Yes,Yes,90,88,1
374,6.5,1,3,1,68,4,Yes,Yes,86,71,0
375,8.2,1,2,1,90,4.7,Yes,Yes,76,80,1
376,7.6,1,2,2,70,4.8,No,Yes,73,84,1
377,8.1,2,3,2,90,4.4,Yes,Yes,70,88,0
378,7.5,1,1,1,71,4.3,No,No,57,68,0
379,7.4,1,3,0,81,4.7,Yes,Yes,76,84,1
380,7.8,0,3,2,90,4.7,Yes,Yes,81,82,1
381,8.2,2,3,2,90,4.8,Yes,Yes,88,82,1
382,8.4,0,3,2,79,4.5,Yes,Yes,75,64,0
383,8.2,2,3,2,90,4.7,Yes,Yes,85,80,1
384,7.6,2,1,2,87,4.8,Yes,No,88,62,0
385,6.5,2,3,1,84,4.7,Yes,Yes,85,83,1
386,6.7,0,3,2,90,4.8,No,No,55,63,0
387,7.5,1,2,0,60,4,No,Yes,56,71,0
388,7.5,1,1,1,60,4.1,No,No,55,64,0
389,8.7,2,3,2,90,4.8,Yes,Yes,77,86,1
390,7.4,1,2,1,71,4.8,No,Yes,63,69,0
391,7.8,0,1,1,77,4.1,Yes,Yes,55,70,0
392,7.3,1,1,0,81,4.4,No,No,55,65,0
393,8,0,0,2,76,4.8,Yes,No,62,64,1
394,7.5,1,3,1,90,4.8,Yes,Yes,74,85,1
395,6.5,0,3,0,68,4.2,Yes,No,64,62,1
396,7.9,0,1,0,66,4.1,No,No,72,84,0
397,8,1,3,0,87,4.3,Yes,Yes,79,67,0
398,7.8,1,1,0,85,4.5,Yes,Yes,70,65,0
399,8.5,2,3,2,90,4.8,Yes,Yes,80,84,1
400,8.4,1,3,2,90,4.6,Yes,Yes,82,88,1
401,7,1,3,0,82,4.6,No,Yes,71,72,0
402,7.6,1,2,1,85,4.6,No,No,90,79,0
403,6.8,1,1,1,75,3.8,No,Yes,60,67,0
404,7.5,0,2,1,63,3.5,No,Yes,75,66,0
405,6.9,1,2,1,70,4.4,Yes,Yes,55,66,0
406,7.7,1,2,2,76,4.1,Yes,Yes,66,78,0
407,6.8,1,1,0,74,3.8,No,Yes,62,67,0
408,8.3,1,3,0,78,4.7,Yes,Yes,76,82,0
409,7.6,2,1,1,89,3.9,No,Yes,55,67,0
410,7.7,0,1,1,67,4.2,Yes,No,64,64,0
411,8.5,2,2,0,79,4.8,Yes,No,55,64,0
412,6.5,1,1,0,84,4.5,Yes,Yes,55,84,0
413,7.7,1,1,0,73,3.9,No,Yes,59,67,1
414,7.4,1,2,1,90,4.8,Yes,Yes,73,67,1
415,6.7,1,1,1,68,4.3,No,No,55,60,0
416,8.3,1,2,2,88,4.4,Yes,Yes,78,86,1
417,7.6,0,1,1,70,4,No,No,69,69,0
418,8.4,1,1,0,72,3.9,Yes,No,60,82,0
419,7.4,1,1,2,80,4.3,Yes,Yes,55,66,0
420,7.5,1,2,1,90,4.3,Yes,Yes,59,84,1
421,8.3,2,3,0,90,4.8,Yes,Yes,78,83,1
422,8.3,2,3,2,85,4.7,Yes,Yes,76,87,1
423,7.6,1,2,1,74,4.6,No,Yes,74,85,1
424,8.6,2,2,2,88,4.8,Yes,No,83,77,1
425,6.6,1,2,1,81,3.4,Yes,Yes,81,85,1
426,7.4,1,1,1,69,3.8,No,Yes,55,64,1
427,7.7,1,2,0,81,4.4,Yes,Yes,55,82,1
428,8.5,1,1,2,83,4.3,Yes,Yes,89,86,1
429,6.5,1,1,1,81,4.6,No,No,56,73,0
430,6.6,0,1,1,72,3.4,No,No,83,65,0
431,8.3,2,3,2,90,4.8,Yes,No,69,80,1
432,8.5,2,3,2,88,4.6,Yes,Yes,85,84,1
433,7.4,1,2,1,79,4.7,Yes,Yes,59,67,0
434,7.6,1,2,0,79,4.3,Yes,Yes,79,69,1
435,7.6,0,1,2,74,4.6,Yes,Yes,76,67,1
436,8.1,1,3,0,90,4.8,Yes,Yes,83,83,0
437,6.8,0,3,2,89,4.8,Yes,Yes,78,69,1
438,7.3,1,1,0,84,4.3,No,No,61,74,0
439,7.6,0,3,2,85,3.8,Yes,No,79,83,0
440,7.4,1,3,0,88,4.2,Yes,Yes,55,74,0
441,6.5,0,1,0,77,4.1,No,No,55,67,0
442,8.2,1,2,3,85,4.5,Yes,Yes,69,82,0
443,7.3,1,1,0,90,4.6,Yes,No,76,62,0
444,8.4,1,2,1,85,4.8,Yes,Yes,55,66,1
445,7.8,0,3,2,90,4.8,Yes,Yes,64,88,0
446,8.1,2,3,2,90,4.8,Yes,Yes,79,83,1
447,8.7,2,3,2,87,4.8,Yes,Yes,55,84,1
448,6.9,0,1,0,79,3.6,No,No,61,67,0
449,8.3,2,3,2,90,4.8,Yes,Yes,71,84,1
450,7.6,1,1,0,76,4,No,Yes,75,70,1
451,7.3,1,1,1,88,4.1,No,No,55,68,0
452,8.8,1,3,2,83,4.8,Yes,Yes,72,84,1
453,6.7,1,1,0,82,3.9,No,Yes,66,66,1
454,8.3,2,3,2,90,4.6,Yes,Yes,80,83,1
455,7.6,1,3,1,68,4.6,Yes,Yes,72,83,1
